setter_username,name,description,matching,angle,benchmark_difficulty,frames
tensionclimbing,Zone,,0,40,13,p308r6p447r8p547r8p567r8p575r5p697r5p710r7p725r7
tensionclimbing,Chicken Fingers,No Matching,1,25,12,p306r5p307r6p344r6p348r8p352r5p362r6p549r8p567r8p570r6p577r6p580r8p602r6p603r7p620r8p689r8p702r8
tensionclimbing,Chicken Fingers,No Matching,1,35,15,p306r5p307r6p344r6p348r8p352r5p362r6p549r8p567r8p570r6p577r6p580r8p602r6p603r7p620r8p689r8p702r8
tensionclimbing,Doze,No matching,1,30,15,p304r8p305r5p311r8p333r6p354r6p443r6p461r8p472r8p550r8p552r6p575r6p579r8p599r6p605r8p626r8p695r6p711r7p714r8
tensionclimbing,Doze,No matching,1,35,15,p304r8p305r5p311r8p333r6p354r6p443r6p461r8p472r8p550r8p552r6p575r6p579r8p599r6p605r8p626r8p695r6p711r7p714r8
tensionclimbing,Doze,No matching,1,45,16,p304r8p305r5p311r8p333r6p354r6p443r6p461r8p472r8p550r8p552r6p575r6p579r8p599r6p605r8p626r8p695r6p711r7p714r8
tensionclimbing,Cola,No matching,1,35,12,p344r5p348r8p352r5p353r8p354r8p356r6p362r6p366r8p367r8p369r6p371r6p372r6p374r7p379r8p382r6p386r8p388r8p403r8p575r8p603r6p615r6p617r6p632r8
tensionclimbing,Terminal,No matching,1,40,26,p720r8p730r6p732r7p742r5p743r6p771r8p773r5p777r6
tensionclimbing,Perpetual,No matching,1,40,30,p311r6p360r6p429r6p564r6p690r8p732r7p748r8p774r5
tensionclimbing,Tweak,,0,40,23,p311r6p314r6p336r8p360r6p380r5p409r8p474r7p489r6
tensionclimbing,Tweak,,0,45,23,p311r6p314r6p336r8p360r6p380r5p409r8p474r7p489r6
tensionclimbing,Flout,,0,35,24,p304r8p311r6p315r6p368r5p482r6p492r7
tensionclimbing,Flout,,0,40,24,p304r8p311r6p315r6p368r5p482r6p492r7
tensionclimbing,Tonewood,No matching,1,40,27,p317r8p351r6p380r5p392r8p437r8p440r6p446r6p503r6p530r6p546r8p557r7p580r8p779r6
tensionclimbing,Tonewood,No matching,1,45,28,p317r8p351r6p380r5p392r8p437r8p440r6p446r6p503r6p530r6p546r8p557r7p580r8p779r6
tensionclimbing,Girl on Fire,No Matching,1,35,22,p337r5p379r8p449r6p476r8p490r7p552r6p562r8p631r5
tensionclimbing,Girl on Fire,No Matching,1,40,23,p337r5p379r8p449r6p476r8p490r7p552r6p562r8p631r5
tensionclimbing,The Dark Waltz,,0,40,23,p560r5p571r6p572r6p592r6p599r6p616r6p628r8p641r8p681r5p684r8p688r8p702r8p744r6p786r7p789r8p793r6
tensionclimbing,Paper Plane,No Matching,1,45,26,p468r8p477r8p564r6p569r6p631r6p652r5p672r8p693r6p707r6p732r7
tensionclimbing,Turnt Out,No Matching,1,30,22,p350r8p454r8p537r5p551r6p554r6p560r8p589r7p594r6p686r6p736r5p737r6p794r8
tensionclimbing,Turnt Out,No Matching,1,45,26,p350r8p454r8p537r5p551r6p554r6p560r8p589r7p594r6p686r6p736r5p737r6p794r8
tensionclimbing,In Play,No Matching,1,35,21,p366r8p576r6p578r6p582r5p601r6p620r8p636r7p689r8p693r6p704r5
tensionclimbing,In Play,No Matching,1,45,24,p366r8p576r6p578r6p582r5p601r6p620r8p636r7p689r8p693r6p704r5
tensionclimbing,Shallow Water,No matching,1,35,26,p319r5p360r6p429r6p437r5p456r6p460r6p546r8p588r6p684r8p719r6p750r8p758r7
tensionclimbing,Sanctuary,No Matching,1,35,25,p337r8p551r6p554r7p681r5p702r8p727r8p738r6
tensionclimbing,Erase,No matching,1,35,22,p433r6p490r7p566r8p584r5p591r5p607r6p616r6p693r6p705r8p728r8p752r8
tensionclimbing,Erase,No matching,1,40,23,p433r6p490r7p566r8p584r5p591r5p607r6p616r6p693r6p705r8p728r8p752r8
tensionclimbing,Diverge,No matching,1,35,22,p433r6p501r8p566r8p584r5p591r5p607r6p616r6p693r6p705r8p728r8p752r8p758r7
tensionclimbing,Granitecastles,No Matching,1,35,22,p366r8p475r7p547r8p562r8p574r6p576r6p582r5p694r6p716r6
tensionclimbing,Qualms,No matching,1,35,21,p339r6p348r8p351r5p367r8p379r8p430r6p431r6p445r8p452r6p492r7p501r8p568r8p585r6p680r8p687r6
tensionclimbing,Qualms,No matching,1,40,22,p339r6p348r8p351r5p367r8p379r8p430r6p431r6p445r8p452r6p492r7p501r8p568r8p585r6p680r8p687r6
tensionclimbing,Optical,No matching,1,35,20,p339r6p348r8p351r5p367r8p379r8p430r6p431r6p445r8p490r7p568r8p585r6p680r8p684r8p728r8
tensionclimbing,Optical,No matching,1,40,20,p339r6p348r8p351r5p367r8p379r8p430r6p431r6p445r8p490r7p568r8p585r6p680r8p684r8p728r8
tensionclimbing,Optical,No matching,1,45,20,p339r6p348r8p351r5p367r8p379r8p430r6p431r6p445r8p490r7p568r8p585r6p680r8p684r8p728r8
tensionclimbing,Hold Tight,No Matching,1,35,22,p315r6p318r8p321r6p348r8p350r8p358r8p359r6p366r8p372r7p379r8p380r5p457r6p566r8p569r6p571r6
tensionclimbing,Sold Out,No Matching,1,35,22,p315r6p318r8p321r6p348r8p350r8p355r8p358r8p359r6p364r6p366r8p379r8p380r5p457r6p562r8p566r8p569r6p571r6p589r7
tensionclimbing,Sold Out,No Matching,1,40,23,p315r6p318r8p321r6p348r8p350r8p355r8p358r8p359r6p364r6p366r8p379r8p380r5p457r6p562r8p566r8p569r6p571r6p589r7
tensionclimbing,Presumably,No matching,1,35,21,p304r8p310r8p323r6p329r8p330r6p336r8p428r8p432r6p447r6p448r6p450r6p465r6p466r8p468r8p478r8p482r6p492r7p497r8p498r5
tensionclimbing,Presumptuous,No matching,1,35,20,p304r8p310r8p314r6p329r6p330r6p332r6p348r8p350r8p372r7p379r8p380r5p428r8p441r6p448r6p454r8
tensionclimbing,Soft Pretzel,,0,35,18,p461r5p481r6p487r6p501r6p566r8p680r8p700r6p705r5p711r7p712r8p725r6p737r6
tensionclimbing,Sterile,No matching,1,35,20,p319r8p334r6p469r8p475r7p481r6p552r6p567r8p584r6p586r6p626r8p631r6p652r5p714r8
tensionclimbing,Touch Off,No matching,1,35,19,p325r6p335r6p355r8p374r7p450r6p463r6p465r6p549r8p551r6p582r5p585r6p611r8
tensionclimbing,Touch Off,No matching,1,40,21,p325r6p335r6p355r8p374r7p450r6p463r6p465r6p549r8p551r6p582r5p585r6p611r8
tensionclimbing,A Fine Line,No matching,1,30,15,p309r7p447r8p464r6p471r6p476r8p477r5p486r5p549r8p699r6
tensionclimbing,A Fine Line,No matching,1,35,17,p309r7p447r8p464r6p471r6p476r8p477r5p486r5p549r8p699r6
tensionclimbing,Return Flight,No matching,1,35,18,p322r6p345r6p348r8p463r6p469r8p490r7p582r5p605r8p680r8p695r6p742r8
tensionclimbing,Return Flight,No matching,1,40,19,p322r6p345r6p348r8p463r6p469r8p490r7p582r5p605r8p680r8p695r6p742r8
tensionclimbing,Unseeing Eye,No matching,1,35,21,p306r6p311r6p314r6p318r8p336r8p435r8p466r8p470r5p471r8p482r6p489r6p607r6p689r8p697r8p736r5p758r7
tensionclimbing,The Host Star,No matching,1,35,24,p351r5p475r6p554r6p580r8p588r6p614r8p626r8p698r6p707r8p719r6p758r7
tensionclimbing,The Host Star,No matching,1,40,25,p351r5p475r6p554r6p580r8p588r6p614r8p626r8p698r6p707r8p719r6p758r7
tensionclimbing,Off to Neverland,No Matching,1,45,22,p429r8p553r6p603r6p636r7p675r8p694r6p696r5p697r5p727r8p728r8p775r8
tensionclimbing,The Dreamer,No matching,1,40,22,p431r6p454r8p488r8p691r6p704r5p723r6p732r6p742r8p750r8p801r7
tensionclimbing,Because I Wanna,,0,40,20,p558r8p570r6p583r6p599r6p611r8p637r8p652r5p672r8p689r8p690r8p692r6p744r6p779r8p784r7
tensionclimbing,Sushi Knight,No Matching,1,40,21,p561r5p573r6p580r8p605r8p607r8p608r6p613r5p615r6p624r6p655r6p687r6p711r7
tensionclimbing,Twist ‘n Shout,,0,30,24,p456r6p461r8p529r8p571r6p589r7p686r6p720r8p755r6p767r6p774r5
tensionclimbing,Twist ‘n Shout,,0,40,25,p456r6p461r8p529r8p571r6p589r7p686r6p720r8p755r6p767r6p774r5
tensionclimbing,Twist ‘n Shout,,0,45,26,p456r6p461r8p529r8p571r6p589r7p686r6p720r8p755r6p767r6p774r5
tensionclimbing,Sweetness,No Matching,1,25,15,p305r5p310r8p348r8p367r8p439r6p450r6p451r6p470r8p484r8p487r8p552r6p567r8p570r6p593r6p599r6p685r8p689r8p701r8p711r7p731r6
tensionclimbing,Sweetness,No Matching,1,35,16,p305r5p310r8p348r8p367r8p439r6p450r6p451r6p470r8p484r8p487r8p552r6p567r8p570r6p593r6p599r6p685r8p689r8p701r8p711r7p731r6
tensionclimbing,Hear You Me,No Matching,1,35,15,p304r8p307r6p350r8p358r8p366r8p369r8p431r6p486r8p492r7p561r5p573r6p575r6p577r6p599r5p614r8p695r6p725r6p737r8
tensionclimbing,Say It Ain’t So,No Matching,1,35,15,p321r5p334r6p344r5p348r8p366r8p368r8p380r8p443r6p550r8p557r7p567r8p570r6p573r6p585r6p593r6p602r6p615r8p628r8p682r8p685r8
tensionclimbing,Crawling In The Dark,No Matching,1,35,16,p318r8p321r5p322r8p366r8p434r6p443r6p447r8p463r6p480r6p485r8p498r8p499r8p557r7p561r5p590r8p689r8p697r6p715r6p724r6p725r6
tensionclimbing,Face Down,No Matching,1,35,15,p318r8p321r5p366r8p463r6p480r6p487r8p498r8p499r8p561r5p590r8p689r8p695r7p697r6p715r6p724r6p725r6
tensionclimbing,Here It Goes Again,No Matching,1,35,15,p305r5p307r6p317r8p318r8p347r6p356r6p358r8p362r6p368r8p372r6p466r8p553r6p562r8p567r8p576r6p602r6p632r8p636r7p683r6
tensionclimbing,Here It Goes Again,No Matching,1,40,15,p305r5p307r6p317r8p318r8p347r6p356r6p358r8p362r6p368r8p372r6p466r8p553r6p562r8p567r8p576r6p602r6p632r8p636r7p683r6
tensionclimbing,My Own Worst Enemy,,0,40,13,p307r6p318r8p351r5p366r8p436r8p472r6p476r8p480r6p484r8p489r6p490r7p549r8p683r5p742r8
tensionclimbing,Higher,No Matching,1,35,21,p317r8p323r6p366r8p379r8p557r7p578r6p588r6p594r6p612r8p613r5p631r6p680r8p685r8p693r6
tensionclimbing,Thunderhead,No Matching,1,35,20,p317r8p323r6p366r8p379r8p550r8p588r6p594r6p612r8p613r5p631r6p680r8p693r6p725r7p737r8
tensionclimbing,Thunderhead,No Matching,1,40,22,p317r8p323r6p366r8p379r8p550r8p588r6p594r6p612r8p613r5p631r6p680r8p693r6p725r7p737r8
tensionclimbing,Jane Says,No Matching,1,35,16,p304r8p310r8p313r6p351r5p379r8p438r5p470r8p549r8p552r6p592r6p605r8p615r6p689r8p724r6p725r7
tensionclimbing,Sober,No Matching,1,35,17,p310r8p313r6p351r5p379r8p438r5p470r8p549r8p552r6p592r6p605r8p615r6p685r8p689r8p711r7p724r6p725r6p740r6p742r8
tensionclimbing,Sober,No Matching,1,40,18,p310r8p313r6p351r5p379r8p438r5p470r8p549r8p552r6p592r6p605r8p615r6p685r8p689r8p711r7p724r6p725r6p740r6p742r8
tensionclimbing,Comeback,No matching set @55,1,55,28,p594r6p618r6p664r7p689r8p707r6p716r6p733r8p735r5
tensionclimbing,Sawmill,No Matching,1,40,22,p313r6p490r7p547r8p567r8p705r5p729r6
tensionclimbing,Millstream,No Matching,1,40,23,p313r6p547r8p567r8p601r6p606r8p636r7p686r6p705r5p729r6
tensionclimbing,Millstream,No Matching,1,45,24,p313r6p547r8p567r8p601r6p606r8p636r7p686r6p705r5p729r6
tensionclimbing,Eon Blue,No matching,1,45,26,p318r8p421r8p466r8p468r5p513r5p586r6p591r6p640r6p650r8p662r7p691r6p696r6
tensionclimbing,Koi No Yokan,No matching,1,40,29,p317r8p386r8p416r8p421r8p609r6p613r5p640r6p641r6p643r6p664r7p665r8
tensionclimbing,Ceruse,No matching,1,45,25,p304r8p355r6p360r6p363r6p375r5p395r5p401r7
tensionclimbing,Ships,,0,35,18,p333r6p560r8p573r6p606r8p634r6p635r6p655r8p667r8p679r7p694r6p695r6p721r8p727r8p733r8p735r5p744r6p759r8p781r6p791r6
tensionclimbing,Sherman,No Matching,1,40,16,p305r5p306r6p312r6p325r6p332r6p362r6p372r6p462r6p549r8p553r6p557r7p575r8p580r8p582r8p616r8p699r6p701r8p712r8p736r8
tensionclimbing,Far And Away,No matching,1,45,16,p372r7p439r5p484r8p549r8p550r5p585r6p593r6p602r6p619r8p702r8
tensionclimbing,Farther Then Away,No matching,1,40,17,p372r6p439r5p484r8p549r8p550r5p585r6p589r7p593r6p602r6p619r8p702r8
tensionclimbing,Farther Then Away,No matching,1,45,17,p372r6p439r5p484r8p549r8p550r5p585r6p589r7p593r6p602r6p619r8p702r8
tensionclimbing,Leave No Stone,,0,45,22,p354r8p356r6p369r8p425r8p454r8p498r5p550r6p573r6p577r6p609r6p648r6p664r7p693r6p702r8p704r6p722r6p733r8p748r8p750r8
tensionclimbing,Invincible,No Matching,1,35,18,p447r8p498r8p507r6p518r7p550r5p552r6p561r5p570r6p689r8p707r8p739r6
tensionclimbing,Immorality,No Matching,1,45,19,p447r8p498r8p507r6p518r6p550r5p552r6p561r5p570r6p689r8p707r8p739r6p781r8p786r7p792r6
tensionclimbing,Dog Town,No Matching,1,35,16,p304r8p351r5p430r6p438r5p441r6p498r8p546r8p549r8p575r6p592r6p605r8p611r8p724r7p736r8
tensionclimbing,H Town,No Matching,1,45,19,p304r8p334r6p351r5p430r6p438r5p441r6p452r6p459r6p462r8p498r8p546r8p549r8p575r6p589r7p592r6p605r8p611r8p724r6
tensionclimbing,The Glass Bridge,No matching,1,40,18,p310r8p351r5p379r8p454r8p567r8p575r6p592r5p699r6p707r6p725r7
tensionclimbing,Inner Assassins,No matching,1,45,21,p310r8p351r5p379r8p454r8p567r8p575r6p589r7p592r5p694r6p699r6p707r6p725r6
tensionclimbing,Maybe Someday,No Matching,1,35,24,p557r7p594r6p686r6p698r6p704r5p750r8
tensionclimbing,Maybe Someday,No Matching,1,40,25,p557r7p594r6p686r6p698r6p704r5p750r8
tensionclimbing,Maybe Someday,No Matching,1,45,26,p557r7p594r6p686r6p698r6p704r5p750r8
tensionclimbing,Layaway,,0,35,22,p350r5p359r5p439r6p444r7p552r6p688r8p702r8p731r6p744r6p747r6
tensionclimbing,Layaway,,0,40,24,p350r5p359r5p439r6p444r7p552r6p688r8p702r8p731r6p744r6p747r6
tensionclimbing,Layaway,,0,45,24,p350r5p359r5p439r6p444r7p552r6p688r8p702r8p731r6p744r6p747r6
tensionclimbing,Unsynthesized,,0,30,26,p315r6p338r6p394r5p395r5p584r6p605r8p688r8p698r6p744r6p786r7
tensionclimbing,Unsynthesized,,0,40,27,p315r6p338r6p394r5p395r5p584r6p605r8p688r8p698r6p744r6p786r7
tensionclimbing,Head and Shoulders,No Matching,1,35,25,p324r6p339r6p475r7p479r8p546r8p548r8p584r6p594r6p693r6p696r5p706r5p712r8
tensionclimbing,Head and Shoulders,No Matching,1,40,26,p324r6p339r6p475r7p479r8p546r8p548r8p584r6p594r6p693r6p696r5p706r5p712r8
tensionclimbing,Start to Zone,,0,40,26,p386r8p416r8p422r5p464r6p482r6p557r7p571r6p576r6p631r6p639r8p781r8
tensionclimbing,Tang,No Matching,1,40,26,p305r5p315r6p340r6p349r8p352r8p385r7p428r8p473r6
tensionclimbing,Jambi,No matching,1,50,27,p364r6p368r5p444r7p563r8p622r6p657r6p665r8p673r8p687r7p709r8
tensionclimbing,Recalibrate,No matching,1,50,29,p351r5p358r8p429r6p611r8p685r6p700r6p746r6p758r7p763r6p779r8
tensionclimbing,Arrangements,No matching,1,50,28,p609r6p635r6p661r8p679r7p693r6p694r6p720r8p722r6p727r8p760r8p763r8p771r8p779r5p788r5p790r6
tensionclimbing,Vecna Returns,,0,45,28,p336r8p379r8p396r6p404r6p422r5p454r8p468r8p475r7p481r6p514r6p526r6p551r6
tensionclimbing,Plume,No matching,1,40,22,p319r8p366r8p387r8p417r5p444r7p565r6p577r6p592r6p603r6p644r5p672r8p682r8p685r8p708r8
tensionclimbing,Plume,No matching,1,45,22,p319r8p366r8p387r8p417r5p444r7p565r6p577r6p592r6p603r6p644r5p672r8p682r8p685r8p708r8
tensionclimbing,Family Ties,No matching,1,45,25,p384r6p469r5p476r8p553r6p624r6p664r7p667r8p702r8p772r8
tensionclimbing,Meat Grinder,,0,50,21,p308r6p374r7p529r8p562r8p563r8p603r6p681r8p727r8p737r6p739r6p774r5
tensionclimbing,Catastrophe,,0,35,18,p452r6p473r6p550r6p563r8p577r8p589r7p689r8p695r6p704r5p722r6p727r8p728r8p733r8p734r8p744r6p750r8
tensionclimbing,Catastrophe,,0,40,21,p452r6p473r6p550r6p563r8p577r8p589r7p689r8p695r6p704r5p722r6p727r8p728r8p733r8p734r8p744r6p750r8
tensionclimbing,Catastrophe,,0,50,23,p452r6p473r6p550r6p563r8p577r8p589r7p689r8p695r6p704r5p722r6p727r8p728r8p733r8p734r8p744r6p750r8
tensionclimbing,Ended,No matching,1,40,20,p364r6p370r6p557r7p567r8p583r5p585r6p595r6p688r8
tensionclimbing,Honest One,No matching,1,40,23,p332r6p334r6p383r8p473r6p498r5p636r7p689r8p706r6p713r8
tensionclimbing,Am Not,No matching,1,45,24,p310r8p320r5p327r8p429r6p446r5p461r8p466r8p473r6p502r6p508r6p522r8p526r6p534r8p711r7
tensionclimbing,Advisor,No matching,1,40,22,p310r8p319r8p336r8p367r8p369r6p392r8p432r6p454r8p557r7p562r8p567r8p569r6p595r6p596r6p613r5p691r6
tensionclimbing,Evil Kin,No matching,1,35,25,p317r8p350r8p554r6p576r6p609r6p613r5p626r8p636r7p713r6
tensionclimbing,Evil Kin,No matching,1,40,27,p317r8p350r8p554r6p576r6p609r6p613r5p626r8p636r7p713r6
tensionclimbing,Evil Kin,No matching,1,45,28,p317r8p350r8p554r6p576r6p609r6p613r5p626r8p636r7p713r6
tensionclimbing,SB*,No Matching,1,45,25,p364r6p374r7p433r6p473r6p499r5p512r8p689r8p694r6p709r8p762r6
tensionclimbing,500 Miles,No Matching,1,45,22,p338r6p372r7p466r8p552r6p617r6p704r5p712r8
tensionclimbing,Tre Classique,No Matching,1,45,22,p304r8p360r8p372r7p430r6p432r6p466r8p469r5p478r6
tensionclimbing,Skate Shoes,no matching,1,40,23,p306r5p317r8p385r7p435r8p477r8p572r6p575r6
tensionclimbing,Skate Shoes,no matching,1,45,23,p306r5p317r8p385r7p435r8p477r8p572r6p575r6
tensionclimbing,Gauge,No matching,1,45,21,p311r6p329r5p331r6p348r8p351r5p366r8p367r8p431r6p448r8p449r6p490r7
tensionclimbing,Extension Intention,No matching,1,45,22,p307r6p320r5p345r6p357r7p374r7p437r5p444r6p450r6p463r6p489r6p497r8
tensionclimbing,Extra Delay,No matching,1,40,20,p304r8p320r5p327r8p344r8p372r7p430r6p432r6p440r6p457r6p466r8p469r5p476r8
tensionclimbing,Extra Delay,No matching,1,45,21,p304r8p320r5p327r8p344r8p372r7p430r6p432r6p440r6p457r6p466r8p469r5p476r8
tensionclimbing,Quan Song,No matching,1,45,27,p549r8p554r6p565r7p588r6p693r6p706r5p708r6p713r5p767r8
tensionclimbing,Shear,No matching,1,45,23,p311r8p329r5p359r5p378r6p411r8p416r8p431r6p450r6p501r8p518r6p519r7p612r8
tensionclimbing,Resolver,No matching,1,45,23,p371r6p565r6p586r6p592r6p687r6p696r8p702r8p704r5p711r7p714r6p748r8
tensionclimbing,Catagorical,No matching,1,45,23,p550r8p567r8p586r6p615r6p623r6p652r5p666r8p668r6p695r6p711r7p737r8
tensionclimbing,Copper Wasp,No matching,1,45,27,p550r6p551r6p571r6p618r6p621r6p636r7p680r8p702r8p712r8p735r5
tensionclimbing,Vantablonde,No matching,1,45,28,p557r7p574r5p614r5p626r8p689r8p713r8p722r6p723r6p734r8p750r8p765r6p768r8p788r8p789r8
tensionclimbing,Frank The Viking,No matching,1,40,23,p322r6p348r8p351r5p358r8p359r8p366r8p367r8p432r6p440r6p490r6p492r7
tensionclimbing,Frank The Viking,No matching,1,45,23,p322r6p348r8p351r5p358r8p359r8p366r8p367r8p432r6p440r6p490r6p492r7
tensionclimbing,Milk,No matching,1,45,24,p439r8p477r8p546r8p559r5p589r7p681r5p702r8p719r6p722r6p724r8p739r6p740r6p750r8p767r6
tensionclimbing,Horses Break,No matching,1,40,27,p363r6p567r8p586r6p664r7p671r6p702r8p705r6p708r6p773r5p779r5p794r8
tensionclimbing,Horses Break,No matching,1,45,29,p363r6p567r8p586r6p664r7p671r6p702r8p705r6p708r6p773r5p779r5p794r8
tensionclimbing,Horses Break,No matching,1,50,30,p363r6p567r8p586r6p664r7p671r6p702r8p705r6p708r6p773r5p779r5p794r8
tensionclimbing,Skerry,,0,40,26,p305r5p315r6p551r6p567r8p643r6p658r8p664r7
tensionclimbing,Serving Swerve,No matching,1,45,26,p317r8p351r5p386r8p557r7p571r6p572r6p587r8p590r8p615r6p705r8
tensionclimbing,Hurt,,0,45,26,p331r8p346r6p476r5p505r5p662r6p679r7p715r6p737r8p794r8
tensionclimbing,Menacing Creation,No matching,1,45,29,p311r6p357r7p376r5p388r5p411r8p429r6p460r6p488r6p568r8
tensionclimbing,Third Eye,No matching,1,55,29,p339r6p363r6p439r5p607r8p618r6p671r7p678r7p698r8p737r8p741r8
tensionclimbing,Cognitive Contortion,No matching,1,40,26,p311r6p328r5p546r8p556r6p581r5p600r8p633r6p641r6p653r8p686r6p693r6p703r8p723r6p728r8p758r7
tensionclimbing,Cognitive Contortion,No matching,1,55,29,p311r6p328r5p546r8p556r6p581r5p600r8p633r6p641r6p653r8p686r6p693r6p703r8p723r6p728r8p758r7
bennykuttler1285,Dante 1,,0,45,22,p304r8p306r5p333r6p357r7p443r6p463r6p569r6
tensionclimbing,Calamity,no matching,1,40,29,p370r6p429r6p461r5p512r5p537r8p547r8p568r8p612r8p624r6p625r6p679r7
tensionclimbing,Overcast,No matching,1,40,26,p305r5p360r6p476r8p560r8p589r7p606r8p621r6p646r6p688r8p691r6
tensionclimbing,Overcast,No matching,1,45,27,p305r5p360r6p476r8p560r8p589r7p606r8p621r6p646r6p688r8p691r6
tensionclimbing,All Plastic,No Matching,1,25,11,p683r5p689r8p692r6p695r6p701r8p704r8p711r7p715r6p721r5p725r6p726r6p727r8p733r8p736r8p737r8p739r6
tensionclimbing,All Plastic,No Matching,1,35,13,p683r5p689r8p692r6p695r6p701r8p704r8p711r7p715r6p721r5p725r6p726r6p727r8p733r8p736r8p737r8p739r6
tensionclimbing,All Plastic,No Matching,1,40,13,p683r5p689r8p692r6p695r6p701r8p704r8p711r7p715r6p721r5p725r6p726r6p727r8p733r8p736r8p737r8p739r6
tensionclimbing,All Plastic,No Matching,1,45,13,p683r5p689r8p692r6p695r6p701r8p704r8p711r7p715r6p721r5p725r6p726r6p727r8p733r8p736r8p737r8p739r6
tensionclimbing,Dear John,No Matching,1,40,15,p549r8p552r6p567r8p584r5p593r5p602r6p614r8p617r6p618r7p683r8p692r8
alex_manikowski,pinch jump 1,No matching,1,45,28,p322r6p582r5p628r8p739r6p755r6p796r8p801r7
AJ,Love is Not Blind,,0,45,24,p319r8p339r6p429r6p435r8p469r5p622r7p748r8
eveevett,self love,No matching,1,50,23,p580r8p611r8p613r5p681r6p683r6p739r6p740r6p796r8p798r6p801r7
sierramcmurry,Jasmine and Reese Project,,0,35,22,p434r6p440r6p454r8p469r5p476r8p492r7p562r8p594r6p682r8p693r6p698r6p733r8
cewickes,Jug Board,No matching,1,40,17,p305r8p372r6p451r6p466r8p552r6p604r6p645r8p679r7p735r5p753r6
bennykuttler1285,Drain from the Brain,No matching,1,40,20,p304r8p310r8p380r5p465r6p480r6p552r6p561r6p758r7
bennykuttler1285,Last Friday Night,No matching,1,40,23,p304r8p311r6p332r6p335r6p378r6p475r7p567r8p591r5p630r5p707r8
bennykuttler1285,Gauge Invariance,No matching,1,35,22,p319r5p338r8p358r5p364r6p436r8p439r6p475r7p552r6p553r6p556r6p602r6p617r6p687r6
bennykuttler1285,Gauge Invariance,No matching,1,45,23,p319r5p338r8p358r5p364r6p436r8p439r6p475r7p552r6p553r6p556r6p602r6p617r6p687r6
iansutherland,Heel Me Baby One More Time,No match,1,30,22,p350r5p379r8p465r6p552r6p571r6p629r5p631r6p716r6p753r8p755r6p758r7
iansutherland,Heel Me Baby One More Time,No match,1,40,23,p350r5p379r8p465r6p552r6p571r6p629r5p631r6p716r6p753r8p755r6p758r7
iansutherland,Spiral Staircase,No match,1,35,18,p310r8p379r8p582r5p599r6p615r6p617r6p618r6p636r7
iansutherland,Spiral Staircase,No match,1,40,18,p310r8p379r8p582r5p599r6p615r6p617r6p618r6p636r7
iansutherland,Spiral Staircase,No match,1,45,21,p310r8p379r8p582r5p599r6p615r6p617r6p618r6p636r7
sandals,Buccaneers,,0,35,22,p306r5p352r8p381r8p436r8p475r7p477r8p484r8p564r6p570r6p594r6p710r6p753r5
wwoslum,onsight,no match,1,25,20,p315r6p433r6p439r6p468r5p475r7p476r5p586r6p698r6p701r8p748r8
iansutherland,Words I’ve Never Said,No Match,1,35,23,p350r5p557r7p569r6p572r6p611r8p629r5p630r6p680r8p684r8p685r6p694r6
iansutherland,Words I’ve Never Said,No Match,1,40,24,p350r5p557r7p569r6p572r6p611r8p629r5p630r6p680r8p684r8p685r6p694r6
iansutherland,Words I’ve Never Said,No Match,1,45,26,p350r5p557r7p569r6p572r6p611r8p629r5p630r6p680r8p684r8p685r6p694r6
iansutherland,Absolute Power,No Match,1,40,22,p313r6p318r8p322r6p357r7p385r6p440r6p466r8p469r5p476r8
iansutherland,Rhapsody,No match,1,30,18,p570r6p582r5p584r6p611r8p627r8p631r6p692r6p725r6p740r6p758r7
iansutherland,Rhapsody,No match,1,45,20,p570r6p582r5p584r6p611r8p627r8p631r6p692r6p725r6p740r6p758r7
iansutherland,Woody Allen,,0,40,19,p345r6p348r8p354r6p366r8p380r5p451r6p463r6p492r7p498r8p499r8p503r6
bennykuttler1285,My Way,No matching,1,45,22,p381r8p454r8p552r6p591r8p601r6p609r6p636r7p681r8p693r6p713r5p753r5
bennykuttler1285,Jedi Mind,No matching,1,40,24,p313r6p338r6p343r5p350r8p366r8p452r6p552r6p560r5p615r8p757r7
jacobsrya,Banana Peel,,0,30,20,p557r7p564r6p571r6p579r8p581r5p592r6p594r6p629r5p631r6p716r6p724r6
jacobsrya,Banana Peel,,0,35,22,p557r7p564r6p571r6p579r8p581r5p592r6p594r6p629r5p631r6p716r6p724r6
jacobsrya,Banana Peel,,0,40,23,p557r7p564r6p571r6p579r8p581r5p592r6p594r6p629r5p631r6p716r6p724r6
iansutherland,Teenagers Scare the Living,No Match,1,40,24,p310r8p311r6p324r6p342r6p367r8p428r8p429r6p486r5p617r6p711r7
iansutherland,Center Piece,No Match,1,40,23,p310r8p350r5p379r8p442r6p552r6p591r6p600r6p629r5p710r6p716r6p758r7
iansutherland,Thunderstruck,No match,1,35,17,p308r6p348r8p367r8p380r5p557r7p567r8p592r6p600r6p604r6
iansutherland,Thunderstruck,No match,1,40,18,p308r6p348r8p367r8p380r5p557r7p567r8p592r6p600r6p604r6
iansutherland,Thunderstruck,No match,1,45,19,p308r6p348r8p367r8p380r5p557r7p567r8p592r6p600r6p604r6
iansutherland,Thunderstruck,No match,1,50,20,p308r6p348r8p367r8p380r5p557r7p567r8p592r6p600r6p604r6
iansutherland,Starships Were Meant to Fly,,0,35,17,p344r6p347r6p374r7p462r6p466r8p497r8p498r5p552r6p617r6
