setter_username,name,description,matching,angle,benchmark_difficulty,frames
bennykuttler1285,Movin’ Along,No matching,1,45,16,p344r8p345r8p382r8p385r6p428r8p484r8p567r8p570r6p575r6p602r6p617r6p618r6p636r7p683r5p697r6p704r5
bennykuttler1285,Mental Gunplay,No matching,1,45,26,p336r8p380r5p429r8p445r8p449r6p493r8p503r6p592r6p602r8p687r7p691r6
wrongwong,Birth of the Dragon,No Match,1,40,23,p374r7p565r6p581r8p602r6p683r6p692r6p699r8p701r8p752r5
bennykuttler1285,Don’t fool yourself,No matching,1,45,20,p322r6p333r6p336r8p345r6p358r8p368r5p374r7p385r6p567r8
iansutherland,Bring an Axe,No matching,1,30,23,p304r8p322r6p327r8p348r8p357r7p369r6p380r5p440r6p452r6p457r6p460r6p478r8p502r6
gmorris172,The Mad Russian,No matching,1,40,23,p334r6p366r8p469r8p582r5p589r7p693r6p714r6p716r6
bronzehand,As Handsome and As Tall,No match,1,35,22,p341r6p456r8p463r6p498r5p567r8p573r6p636r7p706r6
iansutherland,Gin and Juice,No match,1,40,22,p305r5p318r8p341r6p357r7p451r6p457r6p477r6p548r8p733r8p739r6
iansutherland,The Leaning Tower,No match,1,40,22,p321r6p327r8p440r6p445r5p476r5p579r8p701r8p716r6p724r6p740r6p758r7
iansutherland,Hall of Flowers,No match,1,40,21,p312r6p348r8p350r8p352r5p366r8p440r6p442r6p443r6p589r7p724r6
iansutherland,No Hill to Die On,No match,1,40,24,p380r5p478r8p482r6p548r8p556r6p562r8p572r6p591r6p611r8p617r6p684r8p758r7
tensionclimbing,Crimper’s Paradise #7,"No Matching
Intended for 40 degrees",1,40,23,p305r5p314r6p318r8p326r7p334r6p348r8p444r7p448r6p449r6p479r6
willanglin,Literally Licorice,No matching,1,40,25,p503r7p548r8p584r5p591r5p594r6p688r8p694r6p708r6p714r8
BrandonClimbs,Soft Stools,,0,40,25,p327r8p331r6p457r6p618r6p679r7p705r5
limberlimb,Hawaiian Shirt,No matching,1,40,20,p308r6p370r6p414r6p550r8p602r6p644r8p664r7p692r6p735r5p753r5p796r8
dylanw521,grass is greener,No match,1,40,23,p322r6p327r8p348r8p367r8p388r6p473r6p498r8p569r6p580r8p652r5p680r8p716r6p798r7
willanglin,Nonetheless,No matching,1,40,22,p398r8p463r6p486r5p529r8p569r6p603r7p734r8
agresta,Bast,No Matching,1,40,23,p314r6p350r5p366r8p438r5p440r6p457r6p488r6p491r7p732r7p742r8
limberlimb,TV Tokyo,No matching,1,40,22,p326r7p439r5p460r6p484r8p685r8p691r5p700r6p739r6p745r6p746r6p796r8
limberlimb,Halo Diffusion,No matching,1,40,23,p305r5p324r6p340r6p350r8p440r6p636r7p693r6p753r8p754r6
limberlimb,College of Winterhold,No matching,1,40,23,p311r6p320r5p338r6p348r8p357r7p358r5p556r6p571r6p700r6p702r8p724r6
limberlimb,Calico Basin,No matching,1,40,19,p322r6p366r8p380r5p498r8p557r7p573r6p575r6p579r8p715r6p716r6p724r6
tinyman,residual,,0,45,29,p326r7p428r8p491r6p530r6p708r6p713r5p773r5
tmart.climber,dreaming of summer,somewhat of a simulation of the boulder Alpine dream in the Vasquez boulders,0,40,21,p305r5p310r8p476r8p499r8p557r7p585r6p691r6p694r6p725r6
tensionclimbing,No One,,0,35,19,p360r6p437r8p444r7p572r6p578r6p583r5p592r6p612r8p622r6
tensionclimbing,Lycanthropes of London,No matching,1,40,23,p314r6p369r6p380r5p432r6p440r6p447r8p557r7p626r8
